,Actual,Prediticion
5885,230000.0,[276389.5]
3245,658600.0,[546098.0]
1934,320000.0,[462090.1875]
15321,345000.0,
12796,317000.0,
2452,740000.0,[423491.75]
1771,400000.0,[348685.125]
15478,330000.0,
15128,340000.0,
871,469950.0,[643890.4375]
18580,435000.0,
11245,255000.0,
8247,335000.0,
20405,499000.0,
5255,658000.0,[444885.6875]
12408,311600.0,
15279,696950.0,
8676,380000.0,
4399,1150000.0,[451300.9375]
6576,300000.0,
14899,1042030.0,
7488,441000.0,
102,699950.0,[370494.90625]
16993,302000.0,
10087,200000.0,
18632,710000.0,
8686,300000.0,
16083,293000.0,
1971,250000.0,[405155.3125]
21407,330000.0,
6196,594950.0,[562250.625]
20318,540000.0,
13726,231500.0,
6956,280500.0,
9435,225000.0,
14716,1160000.0,
16177,250500.0,
5205,1050000.0,[363748.125]
12648,2535000.0,
18596,645500.0,
12522,355000.0,
15868,570000.0,
5898,234900.0,[1130477.375]
7378,323000.0,
13885,475000.0,
6619,515000.0,
13932,339950.0,
15233,745000.0,
14501,171500.0,
17866,752888.0,
8520,553000.0,
16817,2574000.0,
11848,746000.0,
2414,165000.0,[462360.9375]
12851,529000.0,
17980,2027000.0,
11243,640000.0,
1715,338000.0,[407792.0]
6044,321000.0,[425123.4375]
2209,1050000.0,[460642.34375]
11656,272000.0,
8154,309933.0,
19514,349900.0,
9337,182500.0,
7065,340000.0,
3026,550000.0,[1111161.5]
5499,365000.0,[585821.0]
10694,704000.0,
2649,645000.0,[1103881.125]
2236,1760000.0,[673456.8125]
6210,313100.0,[864467.8125]
1534,657500.0,[185201.4375]
5975,295000.0,[364607.3125]
4817,410000.0,[315813.46875]
18959,315000.0,
20364,439000.0,
10536,901000.0,
5562,250000.0,[466020.875]
6749,556300.0,
7067,499950.0,
3679,527500.0,[883005.8125]
8374,446000.0,
12730,577288.0,
20994,650000.0,
11125,255000.0,
10819,311300.0,
18382,1500000.0,
3689,380000.0,[474090.5]
6266,359000.0,[233372.171875]
14593,625000.0,
6342,365000.0,[329590.5]
17088,295000.0,
20597,457000.0,
728,328000.0,[283762.625]
20964,533380.0,
19400,229950.0,
2757,230000.0,[610090.4375]
15252,775000.0,
17113,415000.0,
18246,349500.0,
9484,497000.0,
12665,555000.0,
2008,463500.0,[2468847.75]
4054,560000.0,[229581.234375]
19457,342000.0,
7449,343000.0,
4627,1405000.0,[475621.09375]
9853,448175.0,
19112,455000.0,
4584,456000.0,[1226727.375]
20153,379000.0,
7423,935100.0,
20226,585000.0,
15831,970000.0,
4046,267000.0,[282765.625]
1535,900000.0,[531001.125]
12884,1610000.0,
3007,524000.0,[563632.3125]
10616,472000.0,
15411,502000.0,
8009,476500.0,
2269,235000.0,[315287.25]
6015,1030000.0,[555194.5]
5866,89000.0,[407384.9375]
17436,209950.0,
11250,635000.0,
2626,4500000.0,[253959.1875]
195,256883.0,[1331685.25]
2687,385195.0,[305305.0625]
831,350000.0,[199362.15625]
16464,779950.0,
8631,314950.0,
16270,454450.0,
18426,1062500.0,
6779,310000.0,
19052,287500.0,
13312,600000.0,
4626,1160000.0,[591159.875]
10129,475000.0,
6453,785000.0,[686909.4375]
16197,840000.0,
6157,742500.0,[380209.34375]
15346,450000.0,
16179,218000.0,
8348,319000.0,
20061,700000.0,
18799,361000.0,
17922,115000.0,
4812,370000.0,[403573.5]
11807,362000.0,
6306,313000.0,[354824.75]
13768,372000.0,
952,460500.0,[578292.5]
9609,339950.0,
381,950000.0,[391043.8125]
4236,710000.0,[323556.0625]
20474,379000.0,
19424,356000.0,
12923,590000.0,
11752,302500.0,
3963,502000.0,[962107.4375]
13181,680000.0,
12478,498000.0,
12043,857500.0,
17571,270000.0,
12323,330000.0,
13246,293500.0,
774,390000.0,[462588.40625]
15684,343000.0,
12946,244500.0,
12083,355000.0,
7757,224950.0,
17466,395000.0,
14814,545000.0,
9254,6885000.0,
19107,429000.0,
1718,442500.0,[348574.625]
11861,530000.0,
18519,1450000.0,
12997,490000.0,
2985,802000.0,[685687.375]
5364,404000.0,[629444.6875]
18504,490000.0,
5182,623000.0,[890661.0]
4359,305000.0,[636696.6875]
17215,297000.0,
1415,445000.0,[799868.9375]
16753,277500.0,
21387,274800.0,
716,405500.0,[501826.5625]
18126,271500.0,
2514,608000.0,[447068.5]
1918,640000.0,[555271.8125]
21186,303500.0,
9667,1175000.0,
7738,810000.0,
4861,220000.0,[374561.0625]
14522,410000.0,
7457,520500.0,
130,212000.0,[339156.875]
7019,292000.0,
7830,659000.0,
4388,501000.0,[513295.65625]
4660,886000.0,[414799.0]
2297,342000.0,[420792.15625]
11505,250000.0,
10126,350000.0,
19061,540000.0,
19425,794500.0,
6272,248000.0,[337831.625]
14570,395000.0,
20206,592000.0,
9171,505000.0,
10595,362500.0,
4973,385000.0,[1099121.75]
4260,489950.0,[461361.375]
3566,299000.0,[584306.4375]
13708,670000.0,
15571,620000.0,
666,306000.0,[501980.90625]
20593,1200000.0,
18190,400000.0,
17675,325000.0,
8574,316000.0,
19684,2205000.0,
1826,450000.0,[625051.5625]
12456,397500.0,
18476,263700.0,
2424,808900.0,[800789.5]
8062,200000.0,
1913,315000.0,[232434.609375]
15448,518500.0,
19882,622500.0,
11389,325000.0,
15357,476000.0,
10223,535000.0,
20649,424950.0,
19207,319000.0,
15430,1311000.0,
4095,265000.0,[236273.609375]
6177,670000.0,[646783.75]
9132,310000.0,
21081,395950.0,
15173,805000.0,
19132,920000.0,
20466,750000.0,
6102,340000.0,[534729.6875]
7342,395000.0,
9627,765000.0,
9413,430000.0,
21395,779000.0,
19446,1900000.0,
14045,355000.0,
4454,500000.0,[642980.8125]
810,345000.0,[344430.1875]
20911,526000.0,
8360,354000.0,
20892,790000.0,
8340,235000.0,
2678,462000.0,[560579.9375]
21103,598992.0,
11546,675000.0,
7160,460000.0,
3281,1965000.0,[602030.3125]
14795,190000.0,
16118,329990.0,
2394,299500.0,[772520.9375]
16499,403950.0,
15299,325000.0,
5261,440000.0,[289937.40625]
20362,420000.0,
11542,690000.0,
10881,559950.0,
4602,435000.0,[265080.21875]
12402,355000.0,
13023,182700.0,
4296,156000.0,[784698.75]
16144,610000.0,
19238,270000.0,
4770,196900.0,[340998.90625]
18550,630000.0,
8480,808100.0,
4920,450000.0,[537299.3125]
20422,1285000.0,
19640,338900.0,
2999,637000.0,[483279.21875]
20352,263900.0,
8296,340000.0,
10450,402500.0,
17544,415000.0,
14237,580000.0,
18142,542950.0,
19563,171000.0,
11808,225000.0,
20717,285000.0,
3395,369900.0,[781528.25]
16601,439000.0,
15505,700000.0,
19429,700000.0,
5576,227500.0,[202787.5]
19396,725000.0,
12489,357950.0,
20219,515000.0,
13278,370000.0,
19531,1280000.0,
16846,260000.0,
13224,1010000.0,
4881,285000.0,[459970.3125]
2995,639000.0,[393652.28125]
14419,1500000.0,
10617,333000.0,
18040,409950.0,
12482,770000.0,
14219,234000.0,
18813,520000.0,
12430,397000.0,
6636,941500.0,
12588,469775.0,
17143,480000.0,
10356,500000.0,
18490,544000.0,
14998,240000.0,
14741,475000.0,
13330,305000.0,
20633,545000.0,
8168,370000.0,
19190,935000.0,
6385,850000.0,[304943.0]
150,532170.0,[392145.65625]
21318,641000.0,
13527,940000.0,
9177,405000.0,
9993,655000.0,
17456,565000.0,
2558,785000.0,[284032.375]
7377,740000.0,
7347,323000.0,
2241,1000000.0,[308191.9375]
21449,650000.0,
9281,406000.0,
2931,1010000.0,[443714.9375]
20089,355000.0,
12022,432500.0,
18440,357500.0,
14740,712000.0,
4340,561500.0,[851724.0625]
12332,430000.0,
10335,229900.0,
12519,535500.0,
10666,653000.0,
14490,250000.0,
8954,1065500.0,
4044,269900.0,[581727.125]
11746,585000.0,
10524,351358.0,
16709,520000.0,
19023,565000.0,
10283,1025000.0,
10848,615000.0,
8505,225000.0,
919,290000.0,[439492.28125]
21212,552100.0,
6904,349900.0,
4516,425000.0,[517572.65625]
13002,1135000.0,
4200,410000.0,[374245.1875]
11496,458000.0,
3930,210000.0,[741849.0625]
5969,253000.0,[479609.375]
2405,603000.0,[452203.75]
17999,540000.0,
5828,455000.0,[673447.125]
1352,585000.0,[878942.9375]
1721,360400.0,[403113.375]
31,280000.0,[507209.0]
1086,550000.0,[746911.0]
4210,255000.0,[1438386.25]
3111,196000.0,[850494.4375]
19520,499000.0,
1188,343000.0,[1347253.125]
18118,515000.0,
13318,570000.0,
15531,388000.0,
9170,569999.0,
6464,755000.0,[262191.0]
6773,809000.0,
4975,815000.0,[496827.03125]
21429,288000.0,
18683,570000.0,
17440,337000.0,
7582,299000.0,
2817,709000.0,[2123589.0]
5448,290000.0,[387135.4375]
17501,500000.0,
12114,250000.0,
18316,940000.0,
9012,259875.0,
4961,525000.0,[717686.3125]
1315,5300000.0,[1407955.25]
21353,667000.0,
20343,855000.0,
15339,425000.0,
4138,545000.0,[512111.875]
15510,260000.0,
15585,398000.0,
1463,495000.0,[209439.359375]
18164,280000.0,
5098,479000.0,[1144333.25]
14517,345000.0,
13698,249000.0,
20498,499000.0,
434,525000.0,[175959.875]
2616,279900.0,[543245.0625]
11350,651500.0,
19167,230000.0,
9434,665000.0,
16673,448000.0,
4343,370000.0,[565549.625]
8443,2140000.0,
7569,527900.0,
17189,993500.0,
19185,324950.0,
20340,1360000.0,
10163,769000.0,
14955,650000.0,
7531,255000.0,
6429,330000.0,[371051.75]
21109,315000.0,
17303,317000.0,
15434,300000.0,
21586,505000.0,
5790,452000.0,[1089235.125]
16267,1058000.0,
20517,292000.0,
6924,417500.0,
8897,392500.0,
1520,264000.0,[399040.6875]
7093,309000.0,
13815,168000.0,
12432,485000.0,
17014,482000.0,
2655,475000.0,[415023.0625]
904,300000.0,[511846.1875]
19134,325000.0,
8992,590000.0,
17546,337000.0,
7525,380500.0,
20728,380000.0,
15170,509900.0,
16526,250000.0,
892,395000.0,[312759.0]
7209,352500.0,
11758,451000.0,
18577,240000.0,
17900,778000.0,
17587,428950.0,
9555,570000.0,
1050,410000.0,[425702.4375]
8336,500000.0,
5140,250000.0,[494764.8125]
2133,655000.0,[313027.46875]
18478,186950.0,
4735,405100.0,[367553.78125]
1387,381000.0,[451916.6875]
18498,206000.0,
7678,299900.0,
16149,533000.0,
2755,410000.0,[239817.0625]
8536,1240000.0,
1234,250275.0,[264280.0625]
3284,725000.0,[842125.1875]
15624,388000.0,
14772,807500.0,
18193,450000.0,
11785,232000.0,
12653,320000.0,
12459,1900000.0,
4517,360000.0,[633349.4375]
1752,480000.0,[226865.53125]
16560,310000.0,
6521,439000.0,
4915,925000.0,[671199.1875]
12688,610000.0,
16759,518000.0,
6826,457500.0,
286,467000.0,[227619.96875]
11670,320000.0,
66,975000.0,[447831.375]
21272,415500.0,
2277,500000.0,[399516.21875]
11587,385000.0,
4057,650000.0,[250127.90625]
6917,546000.0,
19045,425000.0,
15572,330000.0,
5765,650000.0,[753695.9375]
1464,757000.0,[240725.875]
11753,1250000.0,
1683,460000.0,[473158.4375]
2347,430000.0,[448148.25]
5381,319900.0,[1040494.6875]
10742,745000.0,
16287,260000.0,
913,384000.0,[443668.3125]
5052,269950.0,[486265.75]
14372,326000.0,
12299,345000.0,
19799,385000.0,
16010,540000.0,
5268,495000.0,[858846.4375]
15568,180000.0,
16359,1387000.0,
18623,352000.0,
10915,332000.0,
5560,406430.0,[344527.875]
3,604000.0,[330588.0]
21293,208400.0,
17019,357000.0,
15877,282500.0,
15259,442500.0,
5630,350000.0,[422792.875]
6230,269500.0,[306993.03125]
20415,609000.0,
16463,416000.0,
19359,530000.0,
9834,352000.0,
10673,216000.0,
2484,294000.0,[1306502.125]
3570,280000.0,[479383.3125]
17932,637000.0,
3949,998000.0,[533499.75]
7053,940000.0,
2466,1280000.0,[394869.0]
10774,515000.0,
5493,325000.0,[1167756.375]
9160,295000.0,
2615,700000.0,[589382.3125]
18314,409500.0,
15851,229000.0,
7998,249950.0,
15980,499950.0,
16704,772000.0,
7322,469950.0,
9489,238000.0,
7245,118125.0,
11232,225000.0,
21537,370000.0,
3214,555565.0,[332628.15625]
16507,225000.0,
10543,269000.0,
17282,399000.0,
3203,528000.0,[408388.03125]
18394,325000.0,
3448,425000.0,[315249.625]
18536,665000.0,
3476,1165000.0,[815433.8125]
11331,305000.0,
15141,345000.0,
19904,615000.0,
4102,269950.0,[535726.25]
12046,350500.0,
5015,439950.0,[386870.6875]
5692,309950.0,[370528.34375]
9603,1157200.0,
11203,471000.0,
8961,426000.0,
2459,674250.0,[662822.125]
18981,203700.0,
7071,678000.0,
6433,284000.0,[615163.375]
13543,265000.0,
17271,423000.0,
12845,737000.0,
13846,950000.0,
7633,738500.0,
2003,560000.0,[392257.90625]
13809,418000.0,
11888,567000.0,
6946,649950.0,
10633,1150000.0,
15045,402000.0,
15237,1031000.0,
10525,1700000.0,
4053,400000.0,[391524.875]
10115,555000.0,
10569,248000.0,
8553,224000.0,
9988,716500.0,
7711,815000.0,
13652,460000.0,
7498,295000.0,
1441,264950.0,[467677.6875]
15724,725000.0,
6808,800000.0,
10141,252000.0,
11205,470000.0,
8267,285000.0,
13523,477000.0,
16537,355000.0,
5309,535000.0,[585663.5625]
19285,208500.0,
11426,299900.0,
8114,380000.0,
21019,345000.0,
6312,580000.0,[353630.75]
20860,499000.0,
9882,393000.0,
9135,570000.0,
3018,485000.0,[258864.109375]
4717,750000.0,[1388188.625]
21178,815000.0,
4803,650000.0,[1532330.875]
16328,390000.0,
20391,700000.0,
20559,295000.0,
355,375000.0,[288149.40625]
17912,401000.0,
14688,569950.0,
3386,950000.0,[455483.5625]
7079,485000.0,
17782,234000.0,
12121,151100.0,
16126,550000.0,
1430,470000.0,[492866.9375]
17899,2458000.0,
9010,603500.0,
20084,809950.0,
20645,799000.0,
19850,622950.0,
13563,715000.0,
19791,655000.0,
1218,100000.0,[539856.4375]
20752,298900.0,
20941,336000.0,
8728,625000.0,
17118,889000.0,
11024,665000.0,
1796,780000.0,[468147.28125]
2580,482000.0,[317396.96875]
2151,525000.0,[355211.0625]
18699,415000.0,
20357,879950.0,
8730,380000.0,
6863,461000.0,
13494,790000.0,
9896,386000.0,
19381,950000.0,
18068,375000.0,
1561,434500.0,[316646.53125]
2754,866059.0,[632511.0625]
21383,1765000.0,
5487,268000.0,[1014116.9375]
693,410000.0,[294961.1875]
5580,353000.0,[660517.8125]
14538,996000.0,
6753,385000.0,
14883,297950.0,
173,917500.0,[433333.25]
1061,1035480.0,[607582.4375]
3734,800000.0,[446342.9375]
7416,175409.0,
21041,365000.0,
4427,325000.0,[598018.0625]
13767,505000.0,
20184,1312000.0,
488,699900.0,[792762.875]
16675,464600.0,
20101,550000.0,
19591,564000.0,
17276,250000.0,
19547,945000.0,
1085,360000.0,[665885.8125]
6337,397500.0,[502614.28125]
16409,225000.0,
6159,300000.0,[648168.0625]
14480,349990.0,
2664,670000.0,[346480.40625]
13174,540000.0,
11502,319000.0,
10241,899000.0,
18307,543200.0,
597,595000.0,[489451.65625]
1769,299000.0,[705364.5]
5418,425000.0,[275695.59375]
12531,518000.0,
10427,1200000.0,
3193,315000.0,[625969.625]
14192,1005000.0,
1058,528000.0,[442408.96875]
3155,700000.0,[568640.5625]
870,642450.0,[641466.6875]
18270,189900.0,
20123,351000.0,
4233,562000.0,[225123.984375]
17322,530000.0,
7202,500000.0,
6055,270000.0,[762176.75]
21251,505000.0,
13452,444000.0,
18022,539950.0,
5,1225000.0,[508341.75]
1829,753000.0,[634566.9375]
6396,178000.0,[842273.1875]
15574,611000.0,
2690,369990.0,[1026559.5625]
21134,370000.0,
16746,372500.0,
10878,420000.0,
1930,378000.0,[292562.4375]
9365,615000.0,
13788,345000.0,
21329,375000.0,
1772,467500.0,[544407.0625]
15513,779000.0,
11284,1800000.0,
11953,940000.0,
1020,840000.0,[462527.625]
18216,535000.0,
21359,924000.0,
9466,600000.0,
7890,185000.0,
3670,158000.0,[611565.5625]
10084,1227500.0,
3524,350000.0,[543331.8125]
17343,242000.0,
3268,732000.0,[424302.3125]
16093,383000.0,
1313,255000.0,[342073.3125]
18123,243000.0,
20221,360000.0,
390,345000.0,[474349.6875]
10777,630000.0,
2169,765000.0,[172804.828125]
20537,265000.0,
5372,285000.0,[439026.1875]
1549,450000.0,[564402.1875]
6039,330000.0,[628887.375]
14733,308500.0,
10970,868000.0,
344,552250.0,[484393.6875]
16755,890000.0,
3515,299950.0,[258132.09375]
5824,386000.0,[437527.5]
8939,725000.0,
7384,249950.0,
11396,299880.0,
11897,541900.0,
5129,950000.0,[236127.46875]
14028,389000.0,
5416,785000.0,[569309.875]
10482,617450.0,
8132,425000.0,
6097,302000.0,[364877.5]
3565,405000.0,[646951.9375]
5663,315000.0,[219700.25]
8044,420000.0,
19776,408000.0,
193,400000.0,[1132348.625]
4316,1075000.0,[486332.125]
6147,510500.0,[386539.4375]
12859,430000.0,
7599,410000.0,
3883,589950.0,[716312.9375]
1847,520000.0,[552620.9375]
17307,580000.0,
336,559900.0,[1342563.25]
10574,253000.0,
15015,266000.0,
16269,664000.0,
9367,219950.0,
18746,670000.0,
3472,355000.0,[532690.4375]
6728,253000.0,
3207,637250.0,[554057.5625]
9061,499000.0,
16326,261350.0,
11837,1600000.0,
11089,910000.0,
8928,950000.0,
1231,360000.0,[596382.1875]
3641,777000.0,[272454.1875]
12152,375000.0,
21402,325000.0,
2259,390000.0,[743218.4375]
15721,605000.0,
17373,670000.0,
14001,130000.0,
8211,222900.0,
20770,357000.0,
6605,354000.0,
1541,350000.0,[321228.15625]
4943,895000.0,[313461.90625]
15041,352000.0,
10862,213950.0,
11098,435000.0,
21330,685000.0,
19192,328000.0,
4225,390000.0,[962095.8125]
11359,533000.0,
1279,403000.0,[298901.1875]
15441,760000.0,
13978,915000.0,
2075,1200000.0,[714904.4375]
20550,230000.0,
171,272000.0,[521951.71875]
18129,382880.0,
4082,382450.0,[391040.15625]
3471,373000.0,[375268.75]
7626,730000.0,
2567,603500.0,[1421633.375]
4970,568000.0,[667964.0625]
4810,255000.0,[1205870.875]
2279,418000.0,[1756279.0]
19907,802945.0,
21161,459990.0,
18330,494000.0,
17984,351000.0,
10317,524000.0,
6872,439000.0,
7629,250000.0,
420,482000.0,[704208.125]
4429,402000.0,[527851.5625]
3729,866500.0,[334811.90625]
18544,625000.0,
164,420000.0,[374908.5]
5001,1025000.0,[519052.0625]
6347,905000.0,[755894.1875]
7280,800000.0,
8165,655100.0,
1486,229950.0,[762023.4375]
20082,478000.0,
19026,724950.0,
18682,525000.0,
11248,575000.0,
18437,690000.0,
19625,1059500.0,
19562,1356920.0,
6488,245000.0,
20830,1750000.0,
2335,510000.0,[386743.5]
10642,738000.0,
14832,396000.0,
15577,320900.0,
19383,750000.0,
19262,959000.0,
5239,292600.0,[488316.03125]
17908,400000.0,
13703,360500.0,
3495,255000.0,[499710.0]
9416,447450.0,
13265,350000.0,
6608,995000.0,
19660,290000.0,
15372,547500.0,
11645,900000.0,
6323,376000.0,[782773.0625]
16618,369000.0,
19831,925000.0,
19126,275400.0,
5984,354000.0,[641379.8125]
1976,830000.0,[473229.21875]
19336,874950.0,
8718,373000.0,
11214,240000.0,
11305,1047500.0,
20111,320000.0,
3044,456500.0,[520692.0625]
16030,375000.0,
12000,771150.0,
280,304900.0,[1131917.125]
6001,620000.0,[513950.46875]
8001,425000.0,
20784,660000.0,
16590,568500.0,
18985,425000.0,
10989,1125000.0,
20801,728050.0,
175,425000.0,[285074.25]
8272,475000.0,
498,625000.0,[1059956.125]
493,669950.0,[707596.8125]
10539,1700000.0,
14453,532000.0,
4267,585000.0,[777543.9375]
8104,444950.0,
21538,324000.0,
16274,160000.0,
3375,356000.0,[753384.0625]
1044,470000.0,[287720.28125]
10843,590000.0,
2585,347500.0,[388710.875]
18571,240000.0,
19737,450000.0,
11002,324000.0,
4116,470000.0,[583326.5625]
12185,170000.0,
9295,510000.0,
10189,270000.0,
5906,802000.0,[629710.4375]
9798,246600.0,
12767,452500.0,
14269,349000.0,
9391,371000.0,
2795,750000.0,[531451.4375]
2039,320000.0,[387462.46875]
2777,325900.0,[536790.9375]
20460,3345000.0,
6589,230000.0,
9036,667000.0,
13048,870000.0,
21585,270000.0,
8791,550000.0,
4647,397500.0,[491875.5625]
8494,338000.0,
14539,415000.0,
2492,339950.0,[310938.78125]
20356,359950.0,
1939,550000.0,[690776.8125]
16386,400000.0,
15784,320000.0,
13947,350000.0,
1611,378000.0,[306185.6875]
1544,495000.0,[460742.5625]
10847,599000.0,
10464,450000.0,
1067,250000.0,[758377.5625]
2040,2532000.0,[388654.59375]
1933,690000.0,[256828.6875]
10796,809950.0,
495,490000.0,[812421.125]
18897,210000.0,
14016,255000.0,
16887,560000.0,
13692,157000.0,
16919,949000.0,
17042,360000.0,
10185,275000.0,
7960,305000.0,
19687,562000.0,
1211,460000.0,[774345.0625]
20130,252000.0,
5707,380000.0,[531050.4375]
18386,390000.0,
18827,732000.0,
7417,459000.0,
2842,375000.0,[431957.875]
940,565000.0,[309087.0625]
17241,300000.0,
524,275000.0,[499263.6875]
2855,582000.0,[488516.75]
10859,1250000.0,
18025,536000.0,
11615,305000.0,
1024,446450.0,[493103.71875]
21371,417250.0,
20788,469950.0,
18234,522500.0,
16129,780500.0,
18153,373000.0,
17325,739000.0,
13650,350000.0,
15396,419950.0,
1924,432000.0,[1361996.625]
13468,446800.0,
9411,678500.0,
4964,588500.0,[864024.5625]
10346,500000.0,
20711,530000.0,
14337,800500.0,
91,1099880.0,[365629.25]
11134,220000.0,
19644,456000.0,
14941,265000.0,
1815,477000.0,[592175.75]
3827,775000.0,[692281.4375]
3316,410000.0,[506414.09375]
15733,960000.0,
4251,725000.0,[408377.5625]
9767,366000.0,
15408,398000.0,
20680,282900.0,
18156,552500.0,
18884,562000.0,
2748,266000.0,[682460.1875]
2825,838300.0,[737148.8125]
21325,659000.0,
5348,767500.0,[349385.75]
3950,550000.0,[264073.875]
5875,605000.0,[651873.1875]
11538,264500.0,
12177,595000.0,
17197,110000.0,
9475,215000.0,
2141,82500.0,[439189.8125]
18648,423000.0,
19003,400000.0,
6639,471000.0,
4410,680000.0,[713032.6875]
9991,419000.0,
17635,230000.0,
16260,1250000.0,
825,226000.0,[674806.5625]
1214,500000.0,[292552.4375]
15755,315000.0,
10247,324360.0,
20610,395000.0,
10562,465000.0,
14420,290000.0,
16987,445000.0,
15226,678700.0,
11047,665000.0,
20327,427000.0,
6891,763000.0,
15361,464500.0,
8409,871000.0,
19174,209000.0,
13463,840000.0,
8086,650000.0,
9138,325000.0,
10586,430000.0,
5374,179000.0,[268671.21875]
19598,400000.0,
10428,315000.0,
18887,680000.0,
20043,545000.0,
9388,334998.0,
15454,464550.0,
1688,510000.0,[1220233.375]
14322,480000.0,
13210,635000.0,
14727,1195000.0,
11576,460000.0,
501,475000.0,[320074.6875]
18835,355000.0,
12773,650000.0,
17514,650000.0,
5869,342400.0,[412179.875]
7694,299900.0,
13870,624500.0,
1012,900000.0,[850442.3125]
2612,399950.0,[481542.46875]
6815,473975.0,
18551,413450.0,
292,360000.0,[312778.59375]
19099,707000.0,
4330,330000.0,[367398.75]
14540,615000.0,
6408,565000.0,[512584.84375]
9805,284200.0,
1469,652000.0,[364242.6875]
14246,545000.0,
5291,249000.0,[772621.3125]
5457,660000.0,[347569.59375]
18072,705000.0,
19176,534000.0,
9191,293000.0,
13374,271675.0,
6409,695000.0,[189061.375]
1789,341000.0,[293600.1875]
6545,1350000.0,
13877,495000.0,
269,2900000.0,[579462.8125]
3652,695000.0,[286903.09375]
4383,167500.0,[295233.0625]
19428,193000.0,
9477,423500.0,
10102,312500.0,
1804,330000.0,[660171.9375]
13914,335000.0,
21528,585000.0,
20345,1385000.0,
18046,363000.0,
16767,605000.0,
5454,890000.0,[389111.65625]
11362,862000.0,
11873,650000.0,
16128,367500.0,
12604,735000.0,
17068,580000.0,
5965,315000.0,[301539.625]
19043,872000.0,
7014,725000.0,
9856,629000.0,
15129,937750.0,
12159,418000.0,
17618,436000.0,
6706,275000.0,
1739,600000.0,[927711.4375]
19201,925000.0,
5014,764000.0,[247570.03125]
11977,501000.0,
3333,368500.0,[491157.625]
4876,498800.0,[499297.5]
19545,175000.0,
399,269900.0,[407342.4375]
1139,605000.0,[429010.3125]
11529,283000.0,
14043,744500.0,
